,event,date,fight_name,f1,f2,winner,method,fight_length,f1_kd,f1_sig_str_landed,f1_sig_str_att,f1_str_landed,f1_str_att,f1_td_comp,f1_td_att,f1_sub_att,f1_ctrl_time,f2_kd,f2_sig_str_landed,f2_sig_str_att,f2_str_landed,f2_str_att,f2_td_comp,f2_td_att,f2_sub_att,f2_ctrl_time,f1_avg_kd,f1_avg_sig_str_landed,f1_avg_sig_str_att,f1_avg_str_landed,f1_avg_str_att,f1_avg_td_comp,f1_avg_td_att,f1_avg_sub_att,f1_avg_ctrl_time,f2_avg_kd,f2_avg_sig_str_landed,f2_avg_sig_str_att,f2_avg_str_landed,f2_avg_str_att,f2_avg_td_comp,f2_avg_td_att,f2_avg_sub_att,f2_avg_ctrl_time,f1_win_rate,f1_finish_rate,f1_total_fights,f2_win_rate,f2_finish_rate,f2_total_fights
0,UFC 2: No Way Out,1994-03-11,Jason DeLucia vs Scott Baker,Jason DeLucia,Scott Baker,Jason DeLucia,Submission,401,0.0,3.0,5.0,20.0,25.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,14.0,23.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0
1,UFC 2: No Way Out,1994-03-11,Patrick Smith vs Johnny Rhodes,Patrick Smith,Johnny Rhodes,Patrick Smith,Submission,67,0.0,5.0,12.0,5.0,12.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,4.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0
2,UFC 2: No Way Out,1994-03-11,Patrick Smith vs Ray Wizard,Patrick Smith,Ray Wizard,Patrick Smith,Submission,58,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,5.0,12.0,0.0,0.0,1.0,0.0,,,,,,,,,,1.0,1.0,1,,,0
3,UFC 2: No Way Out,1994-03-11,Royce Gracie vs Patrick Smith,Royce Gracie,Patrick Smith,Royce Gracie,KO/TKO,77,0.0,4.0,4.0,11.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2.5,5.0,3.0,5.5,0.0,0.0,0.0,0.0,,,0,1.0,1.0,2
4,UFC 2: No Way Out,1994-03-11,Scott Morris vs Sean Daugherty,Scott Morris,Sean Daugherty,Scott Morris,Submission,20,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0
5,UFC 2: No Way Out,1994-03-11,Johnny Rhodes vs David Levicki,Johnny Rhodes,David Levicki,Johnny Rhodes,KO/TKO,133,0.0,11.0,17.0,74.0,86.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,95.0,102.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,1,,,0
6,UFC 2: No Way Out,1994-03-11,Royce Gracie vs Jason DeLucia,Royce Gracie,Jason DeLucia,Royce Gracie,Submission,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,11.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,23.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,1.0,1
7,UFC 2: No Way Out,1994-03-11,Frank Hamaker vs Thaddeus Luster,Frank Hamaker,Thaddeus Luster,Frank Hamaker,Submission,292,0.0,2.0,3.0,14.0,15.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0
8,UFC 2: No Way Out,1994-03-11,Remco Pardoel vs Alberta Cerra Leon,Remco Pardoel,Alberta Cerra Leon,Remco Pardoel,Submission,591,0.0,4.0,6.0,20.0,22.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,9.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0
9,UFC 2: No Way Out,1994-03-11,Royce Gracie vs Remco Pardoel,Royce Gracie,Remco Pardoel,Royce Gracie,Submission,91,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.5,5.5,0.5,1.0,0.5,0.0,0.0,1.0,3.0,9.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0,1.0,1
10,UFC 2: No Way Out,1994-03-11,Royce Gracie vs Minoki Ichihara,Royce Gracie,Minoki Ichihara,Royce Gracie,Submission,308,0.0,2.0,4.0,110.0,114.0,1.0,1.0,2.0,0.0,0.0,3.0,7.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,3.6666666666666665,3.6666666666666665,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,,,,,,,,,,1.0,1.0,3,,,0
11,UFC 2: No Way Out,1994-03-11,Patrick Smith vs Scott Morris,Patrick Smith,Scott Morris,Patrick Smith,KO/TKO,30,0.0,13.0,17.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3333333333333335,5.0,2.6666666666666665,5.333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,3,1.0,1.0,1
12,UFC 2: No Way Out,1994-03-11,Johnny Rhodes vs Fred Ettish,Johnny Rhodes,Fred Ettish,Johnny Rhodes,Submission,187,1.0,13.0,29.0,21.0,38.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,7.5,13.0,39.0,47.5,0.5,0.5,0.0,0.0,,,,,,,,,,0.5,0.5,2,,,0
13,UFC 2: No Way Out,1994-03-11,Remco Pardoel vs Orlando Wiet,Remco Pardoel,Orlando Wiet,Remco Pardoel,KO/TKO,89,0.0,7.0,7.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,11.0,0.5,0.5,0.5,0.0,,,,,,,,,,0.5,0.5,2,,,0
14,UFC 2: No Way Out,1994-03-11,Orlando Wiet vs Robert Lucarelli,Orlando Wiet,Robert Lucarelli,Orlando Wiet,KO/TKO,170,0.0,8.0,12.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,1,,,0
15,UFC 3: The American Dream,1994-09-09,Harold Howard vs Roland Payne,Harold Howard,Roland Payne,Harold Howard,KO/TKO,46,1.0,9.0,12.0,12.0,15.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0
16,UFC 3: The American Dream,1994-09-09,Ken Shamrock vs Christophe Leninger,Ken Shamrock,Christophe Leninger,Ken Shamrock,KO/TKO,289,0.0,8.0,9.0,16.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,21.0,23.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0
